Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jake LaRavia,PF,22,MEM,5,0,12.2,1.4,4.0,.350,0.4,2.4,.167,1.0,1.6,.625,.400,0.2,0.4,.500,0.6,1.0,1.6,0.4,0.2,0.0,0.4,1.6,3.4
Zach LaVine,SG,28,CHI,15,15,35.5,7.1,16.5,.431,2.5,7.5,.339,4.6,9.1,.507,.508,4.5,5.2,.872,0.3,4.7,5.1,3.3,0.9,0.3,2.1,2.1,21.3
Saben Lee,PG,24,PHO,3,0,3.3,1.0,2.0,.500,0.0,0.3,.000,1.0,1.7,.600,.500,0.0,0.0,,0.7,0.3,1.0,1.0,0.0,0.3,0.0,0.3,2.0
Alex Len,C,30,SAC,6,0,6.8,1.0,1.3,.750,0.0,0.2,.000,1.0,1.2,.857,.750,0.5,1.2,.429,1.2,1.5,2.7,0.8,0.2,0.8,0.3,0.3,2.5
Kawhi Leonard,SF,32,LAC,12,12,33.7,7.8,16.8,.463,2.5,5.9,.423,5.3,10.8,.485,.537,3.0,3.8,.800,1.2,4.2,5.3,3.5,1.9,0.5,1.7,1.7,21.0
Caris LeVert,SG,29,CLE,11,1,33.1,6.5,15.4,.420,1.9,6.1,.313,4.5,9.3,.490,.482,3.2,4.4,.729,0.5,3.8,4.4,3.8,1.3,0.5,1.3,1.8,18.0
Kira Lewis Jr.,PG,22,NOP,11,0,11.0,1.3,3.9,.326,0.2,1.4,.133,1.1,2.5,.429,.349,0.7,0.8,.889,0.3,0.6,0.9,1.6,0.5,0.1,0.5,0.7,3.5
Maxwell Lewis,SF,21,LAL,6,0,3.5,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.2,0.2,0.0,0.0,0.0,0.3,0.0,0.0
E.J. Liddell,PF,23,NOP,3,0,3.0,0.3,1.3,.250,0.0,1.0,.000,0.3,0.3,1.000,.250,0.7,0.7,1.000,0.0,0.7,0.7,0.0,0.0,0.3,0.3,0.3,1.3
Damian Lillard,PG,33,MIL,12,12,33.3,6.4,16.3,.395,2.8,8.7,.327,3.6,7.6,.473,.482,8.9,9.7,.922,0.6,3.7,4.3,6.3,1.0,0.1,2.6,1.3,24.6
Nassir Little,PF,23,PHO,9,0,12.8,1.9,3.4,.548,0.8,2.2,.350,1.1,1.2,.909,.661,0.9,1.1,.800,0.6,1.2,1.8,0.4,0.7,0.6,0.2,1.6,5.4
Dereck Lively II,C,19,DAL,13,12,24.5,3.8,5.3,.710,0.0,0.2,.000,3.8,5.2,.731,.710,1.1,1.7,.636,2.9,4.5,7.5,1.2,0.6,1.2,1.1,3.5,8.6
Isaiah Livers,PF,25,DET,1,0,23.0,1.0,7.0,.143,0.0,3.0,.000,1.0,4.0,.250,.143,4.0,4.0,1.000,2.0,2.0,4.0,1.0,0.0,0.0,2.0,2.0,6.0
Chris Livingston,SF,20,MIL,2,0,4.5,1.0,1.0,1.000,0.5,0.5,1.000,0.5,0.5,1.000,1.250,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.5
Kenneth Lofton Jr.,PF,21,MEM,9,0,9.3,1.1,2.9,.385,0.2,0.8,.286,0.9,2.1,.421,.423,0.6,1.3,.417,0.2,1.1,1.3,1.1,0.2,0.2,0.7,1.6,3.0
